task,verified_seed,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,winner
task2,33,direct_extra_all_features,p90_ae,750,750,0,7.984188907305399,9.272188114802043,1.287999207496643,0.03488159179687411,13.890995216549726,0.5386666666666666,wallpath_extra
task2,33,direct_extra_all_features,los_rmse,750,711,39,2.8986782244154576,2.3849944098641984,-0.5136838145512594,-0.29225693933205943,-21.53815591460897,0.3656821378340366,baseline
task2,33,direct_extra_all_features,nlos_rmse,750,750,0,4.959227041697975,5.689874600272298,0.7306475585743228,0.04053125904821875,12.841189128128706,0.5746666666666667,wallpath_extra
task2,33,direct_extra_all_features,high_wall_rmse,750,750,0,5.148854874593518,5.929786929956407,0.7809320553628896,0.034868979489528495,13.169647823562363,0.5746666666666667,wallpath_extra
task2,33,direct_extra_all_features,free_space_rmse,750,750,0,4.671295014310639,5.445243993287298,0.7739489789766597,0.10905521133604035,14.213302102362285,0.6493333333333333,wallpath_extra
task2,33,direct_extra_all_features,wall_region_rmse,750,750,0,6.936316822691428,7.025662831613367,0.08934600892193877,-0.1473988018685466,1.2717093185842825,0.344,wallpath_extra
task3,11,direct_rf_all_features,rmse,5550,5550,0,5.2992428670753675,5.858931353879256,0.5596884868038878,0.3509631529624109,9.552740132947847,0.8623423423423423,wallpath_extra
task3,11,direct_rf_all_features,non_anchor_rmse,5550,5550,0,5.3198296282109885,5.877208883198358,0.5573792549873698,0.34930890150847915,9.483740769888136,0.8621621621621621,wallpath_extra
task3,11,direct_rf_all_features,mae,5550,5550,0,3.7138829292477786,4.312487958089726,0.5986050288419466,0.41659796237945534,13.88073508052431,0.9381981981981982,wallpath_extra
task3,11,direct_rf_all_features,p90_ae,5550,5550,0,8.771782145843849,9.769024821358759,0.9972426755149085,0.5219869613647452,10.208211093235864,0.8547747747747748,wallpath_extra
task3,11,direct_rf_all_features,los_rmse,5550,5267,283,4.250905619846181,5.04823162439891,0.7973260045527288,0.8897272241100627,15.79416444956933,0.7704575659768369,wallpath_extra
task3,11,direct_rf_all_features,nlos_rmse,5550,5550,0,5.3961544484032995,5.927484266417726,0.5313298180144268,0.2846314199893163,8.963833460085006,0.8387387387387387,wallpath_extra
task3,11,direct_rf_all_features,high_wall_rmse,5550,5550,0,5.578237667434498,6.101115433639854,0.5228777662053562,0.23384012378102947,8.570199529783583,0.8088288288288288,wallpath_extra
task3,11,direct_rf_all_features,free_space_rmse,5550,5550,0,5.169244020988701,5.772657564555162,0.6034135435664613,0.3854377039149046,10.45295926215155,0.8854054054054054,wallpath_extra
task3,11,direct_rf_all_features,wall_region_rmse,5550,5550,0,7.183644220539597,7.210701516388526,0.027057295848930067,-0.02877030585011431,0.37523805121363835,0.46234234234234234,wallpath_extra
task3,11,multi_wall_residual_idw,rmse,5550,5550,0,5.2992428670753675,5.858212252504198,0.5589693854288315,0.7462816638757881,9.541637641925469,0.8695495495495495,wallpath_extra
task3,11,multi_wall_residual_idw,non_anchor_rmse,5550,5550,0,5.3198296282109885,5.887759756686961,0.5679301284759726,0.7527925703248086,9.645946029488583,0.8718918918918919,wallpath_extra
task3,11,multi_wall_residual_idw,mae,5550,5550,0,3.7138829292477786,4.158060189925872,0.4441772606780937,0.6643209457397463,10.682319167823595,0.8661261261261262,wallpath_extra
task3,11,multi_wall_residual_idw,p90_ae,5550,5550,0,8.771782145843849,9.288723779154253,0.5169416333104039,0.9665679931640625,5.565260046493408,0.8434234234234235,wallpath_extra
task3,11,multi_wall_residual_idw,los_rmse,5550,5267,283,4.250905619846181,5.905190689058868,1.6542850692126874,1.47755088827667,28.01408381744124,0.9722802354281375,wallpath_extra
