task,scope,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,wallpath_map_wins,baseline_map_wins,ties,wallpath_map_win_rate,baseline_map_win_rate,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,mean_wallpath_improvement_percent
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,rmse,500,500,0,473,27,0,0.946,0.054,5.7442872017753395,6.600200689236659,0.8559134874613191,0.902508857835834,12.967991849961603
task2,overall,multi_wall_residual_idw,wall_region_rmse,750,750,0,677,73,0,0.9026666666666666,0.09733333333333333,6.9216034958337005,7.928351918188017,1.0067484223543164,0.6150737391886372,12.698079408468082
task2,Ant1-f1 source-like,multi_wall_residual_idw,wall_region_rmse,250,250,0,242,8,0,0.968,0.032,4.4187018711363555,5.388837049061675,0.9701351779253202,0.5943300889496625,18.002681637854376
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,wall_region_rmse,500,500,0,435,65,0,0.87,0.13,8.173054308182373,9.198109352751187,1.0250550445688142,0.6360779054437931,11.144192847220467
task3,overall,direct_extra_all_features,free_space_rmse,5550,5550,0,5217,333,0,0.94,0.06,5.190796191773113,7.740384726771376,2.5495885349982634,1.5925192979481706,32.93878308374128
task3,Ant1-f1 source-like,direct_extra_all_features,free_space_rmse,250,250,0,55,195,0,0.22,0.78,2.856559186440428,2.7884398502285257,-0.06811933621190266,-0.08379480325542166,-2.4429193337743844
task3,Ant1-f2-f3 frequency shift,direct_extra_all_features,free_space_rmse,500,500,0,424,76,0,0.848,0.152,5.5711952571501095,6.741232838637976,1.1700375814878663,0.3317279090690368,17.356433303737738
task3,Ant2-Ant5 additional antennas across frequencies,direct_extra_all_features,free_space_rmse,4800,4800,0,4738,62,0,0.9870833333333333,0.012916666666666667,5.272746133157419,8.102376844105212,2.829630710947793,1.839229749590229,34.923464625154494
task3,overall,direct_extra_all_features,high_wall_rmse,5550,5550,0,4794,756,0,0.8637837837837837,0.1362162162162162,5.599664332561322,7.752697600940604,2.1530332683792817,0.7481929747566798,27.771407827361447
task3,Ant1-f1 source-like,direct_extra_all_features,high_wall_rmse,250,250,0,59,191,0,0.236,0.764,3.201495891208814,3.120812058495284,-0.08068383271352973,-0.07383112100669964,-2.585347377580689
