task,scope,baseline_method,metric,num_buildings,buildings,cluster_mean_paired_difference,cluster_median_paired_difference,cluster_mean_improvement_percent,bootstrap_iterations,confidence,difference_ci_low,difference_ci_high,improvement_percent_ci_low,improvement_percent_ci_high,bootstrap_probability_wallpath_better,wallpath_building_wins,baseline_building_wins,building_ties,sign_test_p_two_sided,difference_ci_excludes_zero
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,rmse,5,"B21,B22,B23,B24,B25",0.20122529923426152,0.12750706962025052,3.602264355328667,20000,0.95,0.028021064127699846,0.383336969341312,0.4294410774982903,7.590358803351146,0.99565,4,1,0,0.375,True
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,wall_region_rmse,5,"B21,B22,B23,B24,B25",-0.14589849580467873,-0.12868261332279046,-1.926938490558983,20000,0.95,-0.2869146913173631,-0.009871414319101634,-3.9520197930760164,-0.0854830355408502,0.0157,1,4,0,0.375,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,free_space_rmse,5,"B21,B22,B23,B24,B25",0.8270536026350364,0.9280325694216865,13.699237649529845,20000,0.95,0.6284763537562754,0.9762251214483368,9.399867247941524,16.708085106692533,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,high_wall_rmse,5,"B21,B22,B23,B24,B25",0.7913331385923001,0.9033459769630412,11.913326193088576,20000,0.95,0.5880158997505613,0.9765214704084098,8.411317628834714,14.247853547553229,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,los_rmse,5,"B21,B22,B23,B24,B25",2.4285759384847263,2.4476921308552675,41.201235923202354,20000,0.95,2.091708842357562,2.734580994624779,36.21548008011108,46.0699223647484,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,mae,5,"B21,B22,B23,B24,B25",0.7413044881820678,0.8479983536402385,17.46959803280835,20000,0.95,0.48950452105204256,0.9349985373814901,9.97181220150654,23.97152516750979,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,nlos_rmse,5,"B21,B22,B23,B24,B25",0.7972080866310103,0.9034808516447859,12.471695213364097,20000,0.95,0.623382873381962,0.9550171071831477,8.907417028331281,14.72219689585789,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,non_anchor_rmse,5,"B21,B22,B23,B24,B25",0.8650616696224407,0.9613965987746405,13.71245789517964,20000,0.95,0.6998592560966189,0.993747004835973,10.081744199684291,16.24901446843541,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,p90_ae,5,"B21,B22,B23,B24,B25",0.9277228657404581,1.0930356645584107,9.486546345173327,20000,0.95,0.6416251138051352,1.1259401858647664,6.017274378551077,11.959875864698873,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,rmse,5,"B21,B22,B23,B24,B25",0.8559134874613191,0.9538190142186626,13.641898689559563,20000,0.95,0.6869144187147358,0.9851620058950271,9.98319342463539,16.18995910612254,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,wall_region_rmse,5,"B21,B22,B23,B24,B25",1.025055044568814,1.0521545102926824,10.978869515229002,20000,0.95,0.746055600494713,1.2836520803218272,8.878789806601782,12.201526086953967,1.0,5,0,0,0.0625,True
task2,overall,direct_extra_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",0.7573186089211704,0.6241418980282012,12.465895311706792,20000,0.95,0.3163059791416962,1.4138695885438541,6.301216356321209,19.209269983029223,1.0,5,0,0,0.0625,True
task2,overall,direct_extra_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",0.7644715076987685,0.6417245646327371,11.231394952093716,20000,0.95,0.2502437229263187,1.5090387212942225,4.414919470502467,18.633112764729024,1.0,5,0,0,0.0625,True
task2,overall,direct_extra_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.4693546252442098,-0.33380523122432176,-19.67199276540977,20000,0.95,-1.2887851830861967,0.24034998864493157,-54.27323374532216,10.209740214418138,0.1366,2,3,0,1.0,False
task2,overall,direct_extra_all_features,mae,5,"B21,B22,B23,B24,B25",0.7711677334838444,0.5430558975537618,18.29098448360604,20000,0.95,0.43867888212203987,1.2781947222550711,12.525538585526226,24.056430381685846,1.0,5,0,0,0.0625,True
task2,overall,direct_extra_all_features,nlos_rmse,5,"B21,B22,B23,B24,B25",0.7138948971046208,0.6057389448868231,11.013897836830875,20000,0.95,0.24898238447938142,1.3929671684218974,4.547631133581648,18.02912177451727,1.0,5,0,0,0.0625,True
task2,overall,direct_extra_all_features,non_anchor_rmse,5,"B21,B22,B23,B24,B25",0.6962969864352441,0.5802404585118311,11.159309236449532,20000,0.95,0.24466380762828072,1.3207718818606777,5.125089833242187,17.618157767664094,1.0,5,0,0,0.0625,True
task2,overall,direct_extra_all_features,p90_ae,5,"B21,B22,B23,B24,B25",1.2709663397471112,1.1664124313990276,11.994680145600821,20000,0.95,0.4251821790271335,2.409723832872179,4.834339520439269,19.15502077076237,1.0,5,0,0,0.0625,True
