fold,anchor_fraction,anchor_seed,model_seed,adapted_method,baseline_method,test_count,adapted_rmse,baseline_rmse,rmse_improvement_percent,adapted_mae,baseline_mae,mae_improvement_percent,adapted_p90_ae,baseline_p90_ae,p90_improvement_percent,adapted_point_wins,baseline_point_wins,ties,adapted_point_win_percent
holdout_Comms,0.05,33,11,direct_extra_with_anchors,direct_extra,1318,7.520911694266844,10.800877760536594,30.36758807005329,5.878267235699371,8.415946799896123,30.1532272545743,12.649541666666657,19.093294444444414,33.7487739296489,820,498,0,62.2154779969651
holdout_Comms,0.1,11,11,direct_extra_with_anchors,direct_extra,1248,7.45572238205518,10.631324153162526,29.87023747331316,5.84345203449951,8.291641857157765,29.525995753722214,12.04831388888889,18.703925000000005,35.58403442652338,750,498,0,60.09615384615385
holdout_Comms,0.1,22,11,direct_extra_with_anchors,direct_extra,1248,7.223586752170155,10.834432890188275,33.327504767583385,5.649363959148676,8.437893385393709,33.047696846609554,11.881823214285717,18.996979761904726,37.454146063192994,788,460,0,63.141025641025635
holdout_Comms,0.1,33,11,direct_extra_with_anchors,direct_extra,1248,7.445196433846399,10.762585640421255,30.823347821880944,5.79481988239362,8.38720599900258,30.90881655842543,12.159800000000034,19.093294444444414,36.31376693330062,766,482,0,61.37820512820513
holdout_Library,0.01,11,11,direct_extra_with_anchors,direct_extra,680,10.980303274036439,12.18360215826004,9.876380306852093,9.280961823909342,10.487748294990045,11.506630757501872,17.433991666666643,18.85884583333335,7.555362503405448,430,250,0,63.23529411764706
holdout_Library,0.01,22,11,direct_extra_with_anchors,direct_extra,680,11.116361223887495,12.21858839773986,9.020904362866087,9.494370715762988,10.523399354837062,9.778481309854337,17.242875595238075,18.882550000000005,8.683543296651827,464,216,0,68.23529411764706
holdout_Library,0.01,33,11,direct_extra_with_anchors,direct_extra,680,10.124006215010121,12.17645418536616,16.855875603118516,8.420969838106224,10.473322246426681,19.59600172734764,16.131220238095253,18.85884583333335,14.463375008967786,488,192,0,71.76470588235294
holdout_Library,0.05,11,11,direct_extra_with_anchors,direct_extra,653,7.259121609786038,12.15466385158506,40.27706814088985,5.907340230096863,10.448013775428999,43.45968183934266,11.724209090909092,18.856450000000013,37.823879410445315,536,117,0,82.08269525267994
holdout_Library,0.05,22,11,direct_extra_with_anchors,direct_extra,653,8.645914478493854,12.313249590743014,29.78364959812257,7.036828464255234,10.616356702771352,33.71710595953976,14.000683333333365,19.032175,26.436766510746324,498,155,0,76.26339969372128
holdout_Library,0.05,33,11,direct_extra_with_anchors,direct_extra,653,8.186181219587736,12.271255583876036,33.28978307367286,6.642842604019907,10.591757158152282,37.28290306479475,13.27590000000002,18.874975000000013,29.6640128000169,510,143,0,78.1010719754977
holdout_Library,0.1,11,11,direct_extra_with_anchors,direct_extra,618,7.0361435780551815,12.26859827180153,42.649164784967816,5.664287335250877,10.543945475779536,46.27924292417583,11.359033333333318,19.057325,40.39544724491334,491,127,0,79.44983818770227
holdout_Library,0.1,22,11,direct_extra_with_anchors,direct_extra,618,7.846915694947618,12.231845317829105,35.84847182861302,6.210537668051922,10.524287687686174,40.98852243160844,12.641974206349275,18.940637499999976,33.25475868302062,463,155,0,74.91909385113269
holdout_Library,0.1,33,11,direct_extra_with_anchors,direct_extra,618,6.944526446979476,12.294433658600461,43.51487315463698,5.560006554709224,10.554408485409878,47.32052902448088,11.401671428571419,19.0207375,40.05662804309549,490,128,0,79.28802588996764
holdout_SSE,0.01,11,11,direct_extra_with_anchors,direct_extra,212,9.835980469155892,9.94975118450474,1.1434528687112138,7.746721892115246,7.843457413246472,1.2333275497595433,15.517378571428578,16.424930952380997,5.525456293141116,97,89,26,45.75471698113208
holdout_SSE,0.01,22,11,direct_extra_with_anchors,direct_extra,212,9.612398326443786,9.93073295450037,3.2055501795798595,7.578767621372943,7.839199571642244,3.322175279366462,15.646025000000014,16.424930952380997,4.742217514576954,110,81,21,51.886792452830186
holdout_SSE,0.01,33,11,direct_extra_with_anchors,direct_extra,212,9.806346679159414,9.966802833301085,1.6099059731126002,7.712437019111189,7.860154358028607,1.8793185501062781,15.721041666666691,16.424930952380997,4.285493118692644,131,79,2,61.79245283018868
holdout_SSE,0.05,11,11,direct_extra_with_anchors,direct_extra,203,9.49508701829267,9.952165014593902,4.592749372935138,7.54851052559924,7.8705276270019064,4.091429655845467,15.0983714285714,16.384361904761946,7.848889591585406,122,81,0,60.09852216748769
holdout_SSE,0.05,22,11,direct_extra_with_anchors,direct_extra,203,8.106943124437715,9.829073813350117,17.520782950814322,6.359278071232617,7.784977525944783,18.313469113568747,12.526281746031732,15.952180952380946,21.47605532168867,122,75,6,60.09852216748769
holdout_SSE,0.05,33,11,direct_extra_with_anchors,direct_extra,203,8.908744856383525,9.982944096191606,10.76034513924482,6.9419274572146294,7.867978464393348,11.769872164363129,13.598157142857175,16.507814285714307,17.62593819204229,124,79,0,61.083743842364534
holdout_SSE,0.1,11,11,direct_extra_with_anchors,direct_extra,193,8.001797017796015,9.676966174184619,17.310891928686043,6.237121278255811,7.585209153332482,17.77258672536936,12.804707783882824,15.516838095238104,17.478627376975684,118,75,0,61.13989637305699
holdout_SSE,0.1,22,11,direct_extra_with_anchors,direct_extra,193,8.12170922970602,9.840401427752917,17.46567160562844,6.36046155278608,7.709997764085901,17.50371728492741,12.69533589743588,15.952180952380946,20.416299593560996,124,69,0,64.24870466321244
holdout_SSE,0.1,33,11,direct_extra_with_anchors,direct_extra,193,8.514294539791134,9.930859614631434,14.264274491940574,6.727163273461396,7.875138223925663,14.577203825789042,13.386986144342812,16.384361904761946,18.294125690350977,130,63,0,67.35751295336787
holdout_Comms,0.01,11,11,direct_rf_with_anchors,direct_rf,1373,8.041747083951376,10.032905847967253,19.846281767104408,6.22430287882992,7.896824636145197,21.17967454487772,13.238373051948013,17.4730496031746,24.23547490220144,865,508,0,63.00072833211945
holdout_Comms,0.01,22,11,direct_rf_with_anchors,direct_rf,1373,8.077909138052354,10.07425031477666,19.816275299375118,6.337395623101105,7.935148891995763,20.135139121413623,13.112701587301574,17.4730496031746,24.954705188273575,765,608,0,55.717407137654774
holdout_Comms,0.01,33,11,direct_rf_with_anchors,direct_rf,1373,7.832022260838042,10.038041160818741,21.976587509836108,5.987063055814056,7.893085862102617,24.14800547704699,12.767349206349186,17.4730496031746,26.931191198418265,823,550,0,59.94173343044428
holdout_Comms,0.05,11,11,direct_rf_with_anchors,direct_rf,1318,7.5398218432503255,10.068529108453296,25.114962056174907,5.952004369429255,7.905479191269028,24.710391041155738,12.676494246031735,17.4730496031746,27.45116316885749,836,482,0,63.42943854324734
