split,fold,heldout_scenario,method,anchor_mode,anchor_fraction,anchor_count,anchor_seed,random_seed,model_seed,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,target_anchor_count,test_count
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.05,,33,11,11,8.603743680617605,7.041620872844821,6.318494769119752,14.0671249278499,15.963495238095224,4.893222503169179,7.076777434415054,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.1,,11,11,11,15.448290178817569,13.951370665563271,14.526273980279399,22.674723230869365,24.568012101278278,13.572161793037026,7.378759632389261,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.1,,11,11,11,11.225549057710008,9.478581032945906,9.075037167914054,17.97482658394194,20.92994169423181,8.573680753076726,7.246029946900286,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.1,,11,11,11,7.3794392299998846,5.902583720504582,4.825867227218666,11.606101616715021,13.8441019560979,0.10014807379073368,7.378759632389261,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.1,,11,11,11,7.249188172405719,5.721058203605758,4.7118497815216,12.017571560469943,14.13819138616651,-0.2139606682809081,7.246029946900286,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.1,,11,11,11,7.4412155544756216,5.857541062529529,4.61620914771688,12.523993438138726,14.99272134589539,2.1201506774650682,7.132786975160155,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.1,,11,11,11,7.32680882237678,5.854275010444198,4.801898878379241,12.536450430617789,14.408456678061523,2.671419888169114,6.822436756815905,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.1,,11,11,11,7.0361435780551815,5.664287335250876,4.775583333333373,11.359033333333318,14.287056547619057,2.5001745384329013,6.576963108333436,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.1,,11,11,11,7.5441411565325405,6.192093239938185,5.316862554112554,11.997746428571451,14.600964285714257,3.7400177500964666,6.551819061806538,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.1,,22,11,11,15.409460722094986,13.96591363209866,14.718011327080134,22.438302266766932,24.354457212063213,13.615647490196885,7.215651264333902,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.1,,22,11,11,11.282571904582538,9.52964389201833,8.903155613313686,18.173388947692082,20.92994169423181,8.59421478449191,7.30998638987077,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.1,,22,11,11,7.235318520453547,5.838993405933383,4.943365575449278,11.36818701593404,13.20337826837952,0.5331143629041218,7.215651264333902,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.1,,22,11,11,7.30999258001624,5.764445629992595,4.723473324541409,12.262823495002495,14.31298110931911,-0.009513138103643508,7.30998638987077,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.1,,22,11,11,7.7036599070217635,6.2224100788201655,5.331208992027843,12.326698827093622,14.86657731776778,2.4899067712499043,7.2901810837275125,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.1,,22,11,11,7.601225611743979,6.142439893724127,5.139395531579652,12.827182070260518,14.717065179755718,2.744912412359509,7.088306331494664,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.1,,22,11,11,7.846915694947619,6.210537668051922,4.966608082706749,12.641974206349275,15.660605654761923,2.307231337445322,7.5000512984329335,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.1,,22,11,11,7.94017004831226,6.416974320416152,5.584989583333353,13.005457287157293,15.591958333333338,2.86381511727609,7.4057317916716405,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.1,,33,11,11,15.432101197075712,13.918434762042446,14.33096693431154,22.90254417070625,24.57593724349715,13.550946243215334,7.383874543237705,618,1670,69,618
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.1,,33,11,11,11.328486069196797,9.534467681713615,8.903155613313686,18.254174453507087,20.85629220790665,8.56380655083841,7.415916260301423,618,1670,69,618
