scenario,config,source_file,coord,pl_db,p_rx_dbm,derived_pl_db,pl_minus_derived_db,consistent_with_received_power
Comms,C1,PL_Comms_C1.csv,H-23,78.0,-68.0,78.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-23,82.0,-72.0,82.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-23,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-23,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-23,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-23,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-23,89.0,-79.0,89.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-23,96.0,-86.0,96.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-23,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-24,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-24,80.0,-70.0,80.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-24,72.0,-62.0,72.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-24,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-24,67.0,-57.0,67.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-24,78.0,-68.0,78.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-24,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-24,71.0,-61.0,71.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-24,80.0,-70.0,80.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-24,77.0,-67.0,77.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-24,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-24,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-24,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-24,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-24,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-24,96.0,-86.0,96.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-25,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-25,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-25,70.0,-60.0,70.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-25,75.0,-65.0,75.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-25,75.0,-65.0,75.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-25,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-25,81.0,-71.0,81.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-25,80.0,-70.0,80.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-25,80.0,-70.0,80.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-25,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-25,83.0,-73.0,83.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-25,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-25,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-25,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-25,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-26,74.0,-64.0,74.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-26,68.0,-58.0,68.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-26,68.0,-58.0,68.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-26,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-26,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-26,95.0,-85.0,95.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-26,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-27,67.0,-57.0,67.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-27,63.0,-53.0,63.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-27,68.0,-58.0,68.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-27,60.0,-50.0,60.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-27,57.0,-47.0,57.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-27,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-27,77.0,-67.0,77.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-27,70.0,-60.0,70.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-27,75.0,-65.0,75.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-27,72.0,-62.0,72.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-27,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-27,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-27,82.0,-72.0,82.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-27,78.0,-68.0,78.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-28,66.0,-56.0,66.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-28,61.0,-51.0,61.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-28,65.0,-55.0,65.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-28,56.0,-46.0,56.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-28,53.0,-43.0,53.0,0.0,True
