scenario,config,source_file,_source_row,coord,distance_m,pl_db,num_brick_wall,num_wood_wall,num_glass_wall,num_drywall,num_column,elevator,missing_wall_columns
Comms,C1,PL_Comms_C1.csv,134,H-14,15.29705854,97.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,135,I-14,15.5241747,97.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,136,J-14,15.8113883,97.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,137,L-14,16.55294536,99.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,138,A-15,14.56021978,90.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,139,B-15,14.31782106,99.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,140,C-15,14.14213562,96.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,141,D-15,14.03566885,95.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,142,E-15,14.0,98.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,143,F-15,14.03566885,84.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,144,G-15,14.14213562,87.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,145,H-15,14.31782106,86.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,146,I-15,14.56021978,110.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,147,J-15,14.86606875,109.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,148,L-15,15.65247584,94.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,149,A-16,13.60147051,93.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,150,B-16,13.34166406,91.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,151,C-16,13.15294644,91.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,152,D-16,13.03840481,93.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,153,E-16,13.0,88.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,154,F-16,13.03840481,84.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,155,G-16,13.15294644,89.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,156,H-16,13.34166406,86.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,157,I-16,13.60147051,88.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,158,J-16,13.92838828,92.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,159,A-17,12.64911064,92.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,160,B-17,12.36931688,91.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,161,C-17,12.16552506,95.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,162,D-17,12.04159458,92.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,163,E-17,12.0,93.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,164,F-17,12.04159458,87.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,165,G-17,12.16552506,92.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,166,H-17,12.36931688,85.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,167,I-17,12.64911064,104.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,168,J-17,13.0,92.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,169,K-17,13.41640786,88.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,170,M-17,14.4222051,85.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,171,N-17,15.0,97.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,172,O-17,15.62049935,86.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,173,P-17,16.2788206,82.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,174,A-18,11.70469991,90.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,175,B-18,11.40175425,94.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,176,C-18,11.18033989,89.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,177,D-18,11.04536102,93.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,178,E-18,11.0,96.0,3.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,179,F-18,11.04536102,90.0,3.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,180,G-18,11.18033989,78.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,181,H-18,11.40175425,86.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,182,I-18,11.70469991,93.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,183,J-18,12.08304597,91.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,184,K-18,12.52996409,99.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,185,L-18,13.03840481,88.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,186,M-18,13.60147051,85.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,187,N-18,14.2126704,90.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,188,O-18,14.86606875,94.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,189,C-19,10.19803903,85.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,190,D-19,10.04987562,88.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,191,E-19,10.0,82.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,192,F-19,10.04987562,80.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,193,G-19,10.19803903,89.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,194,H-19,10.44030651,78.0,1.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,195,I-19,10.77032961,99.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,196,J-19,11.18033989,90.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,197,K-19,11.66190379,88.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,198,L-19,12.20655562,84.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,199,M-19,12.80624847,97.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,200,N-19,13.45362405,92.0,1.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,201,O-19,14.14213562,88.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,202,A-20,9.848857802,87.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,203,B-20,9.486832981,93.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,204,C-20,9.219544457,88.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,205,D-20,9.055385138,89.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,206,E-20,9.0,98.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,207,F-20,9.055385138,85.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,208,G-20,9.219544457,82.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,209,H-20,9.486832981,83.0,1.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,210,I-20,9.848857802,92.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,211,J-20,10.29563014,96.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,212,K-20,10.81665383,88.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,213,L-20,11.40175425,84.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,214,M-20,12.04159458,87.0,1.0,1.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,215,N-20,12.72792206,97.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,216,O-20,13.45362405,94.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,217,A-21,8.94427191,83.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,218,B-21,8.544003745,84.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,219,C-21,8.246211251,83.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,220,D-21,8.062257748,98.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,221,E-21,8.0,89.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,222,F-21,8.062257748,74.0,2.0,0.0,0.0,0.0,0.0,,elevator
Comms,C1,PL_Comms_C1.csv,223,G-21,8.246211251,77.0,2.0,0.0,0.0,0.0,0.0,,elevator
